app,source_file,route_pattern,element,redirect
NEW,apps/web/src/App.tsx,/,"",no
NEW,apps/web/src/App.tsx,/atelier,"",no
NEW,apps/web/src/App.tsx,/requests,"",no
NEW,apps/web/src/App.tsx,/requests/:requestId,"",no
NEW,apps/web/src/App.tsx,/quotes,"",no
NEW,apps/web/src/App.tsx,/clients,"",no
NEW,apps/web/src/App.tsx,/clients/:customerId,"",no
NEW,apps/web/src/App.tsx,/system,"",no
NEW,apps/web/src/App.tsx,/products,"",no
NEW,apps/web/src/App.tsx,/products/:productCode,"",no
NEW,apps/web/src/App.tsx,/execution/:planId,"",no
NEW,apps/web/src/App.tsx,/components,"",no
NEW,apps/web/src/App.tsx,/governance,"",no
NEW,apps/web/src/App.tsx,/admin,"",no
NEW,apps/web/src/App.tsx,/admin/product-system,"",no
NEW,apps/web/src/App.tsx,/admin/resources,"",no
NEW,apps/web/src/App.tsx,/admin/stock,"",no
NEW,apps/web/src/App.tsx,/admin/stock/:resourceId,"",no
NEW,apps/web/src/App.tsx,/admin/processes,"",no
NEW,apps/web/src/App.tsx,/admin/workcenters,"",no
NEW,apps/web/src/App.tsx,/admin/people,"",no
NEW,apps/web/src/App.tsx,/admin/people/skills,"",no
NEW,apps/web/src/App.tsx,/admin/people/:personId,"",no
NEW,apps/web/src/App.tsx,/admin/customers,"",no
NEW,apps/web/src/App.tsx,/admin/seller,"",no
NEW,apps/web/src/App.tsx,*,"",yes
OLD,C:/w/psiso/frontend/src/App.tsx,operator,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,:workspaceId/operator,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,(layout),"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/employee-app/*,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/employee-app-v2/*,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/intake-v6-app/*,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,(layout),"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/dashboard,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/shop-floor,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/operator,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/tablet,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/tablet/:stationId,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/tablet/:stationId/:taskId,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/clients,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/clients/:clientName,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/documents,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/intake,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/intake/:id,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/quotes/:quoteId,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/quotes,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/orders/:orderId,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/orders,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/execution,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/execution/reality-review,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/execution/ops-graph,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/execution/machine-runs,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/execution/machine-runs/:machineRunId,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/execution/:order_id,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/demo/commercial-spine,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/demo/volumetric-letter-preview,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/intake-v6/operator,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/intake-v6/:workspaceId/operator,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/inventory,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/inventory/pricing,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,/inventory/material-price-registry,"",yes
OLD,C:/w/psiso/frontend/src/App.tsx,/inventory/commercial-markup-policy,"",yes
OLD,C:/w/psiso/frontend/src/App.tsx,/inventory/productsystem-pricing-preview,"",yes
OLD,C:/w/psiso/frontend/src/App.tsx,/product-system,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,(index),"",no
OLD,C:/w/psiso/frontend/src/App.tsx,products,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,products/:templateCode,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,products/:templateCode/structure/vizual-fata,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,products/:templateCode/structure/volum-aluminiu,"",no
OLD,C:/w/psiso/frontend/src/App.tsx,products/:templateCode/structure/capac-spate,"",no
